"concepto","descripcion","descripcion_identada","orden"
100000000000,"ACTIVO","ACTIVO",10
100200001001,"Efectivo y equivalentes de efectivo"," Efectivo y equivalentes de efectivo",20
100200102001,"Caja","  Caja",30
100200102002,"Bancos","  Bancos",40
100200203001,"Depósitos en Banco de México","   Depósitos en Banco de México",50
100200203002,"Depósitos en otras entidades financieras","   Depósitos en otras entidades financieras",60
100200203003,"Divisas a entregar","   Divisas a entregar",70
100200102003,"Documentos de cobro inmediato","  Documentos de cobro inmediato",80
100200102004,"Metales preciosos amonedados","  Metales preciosos amonedados",90
100200102005,"Instrumentos financieros de alta liquidez","  Instrumentos financieros de alta liquidez",100
100200102006,"Efectivo y equivalentes de efectivo restringidos o dados en garantía","  Efectivo y equivalentes de efectivo restringidos o dados en garantía",110
100200603004,"Banco de México","   Banco de México",120
100200603005,"Préstamos interbancarios (Call Money)","   Préstamos interbancarios (Call Money)",130
100200603006,"Divisas a recibir","   Divisas a recibir",140
100200603007,"Efectivo administrado en fideicomiso","   Efectivo administrado en fideicomiso",150
100200603008,"Otros","   Otros",160
100200102007,"Otros","  Otros",170
100400001001,"Cuentas de margen (instrumentos financieros derivados)"," Cuentas de margen (instrumentos financieros derivados)",180
100400102001,"Efectivo","  Efectivo",190
100400102002,"Inversiones en instrumentos financieros","  Inversiones en instrumentos financieros",200
100400102003,"Otros activos","  Otros activos",210
100600001001,"Inversiones en instrumentos financieros"," Inversiones en instrumentos financieros",220
100600102001,"Instrumentos financieros negociables","  Instrumentos financieros negociables",230
100600103001,"Instrumentos financieros negociables sin restricción","   Instrumentos financieros negociables sin restricción",240
100600104001,"Deuda gubernamental","    Deuda gubernamental",250
100600105001,"En posición","     En posición",260
100600105002,"Por entregar","     Por entregar",270
100600104002,"Deuda bancaria","    Deuda bancaria",280
100600205003,"En posición","     En posición",290
100600205004,"Por entregar","     Por entregar",300
100600104003,"Otros títulos de deuda","    Otros títulos de deuda",310
100600305005,"En posición","     En posición",320
100600305006,"Por entregar","     Por entregar",330
100600104004,"Instrumentos financieros de capital","    Instrumentos financieros de capital",340
100600405007,"En posición","     En posición",350
100600405008,"Por entregar","     Por entregar",360
100600103002,"Instrumentos financieros negociables restringidos o dados en garantía en operaciones de reporto","   Instrumentos financieros negociables restringidos o dados en garantía en operaciones de reporto",370
100600204005,"Deuda gubernamental","    Deuda gubernamental",380
100600204006,"Deuda bancaria","    Deuda bancaria",390
100600204007,"Otros títulos de deuda","    Otros títulos de deuda",400
100600103003,"Instrumentos financieros negociables restringidos o dados en garantía en operaciones de préstamo de valores","   Instrumentos financieros negociables restringidos o dados en garantía en operaciones de préstamo de valores",410
100600304008,"Deuda gubernamental","    Deuda gubernamental",420
100600304009,"Deuda bancaria","    Deuda bancaria",430
100600304010,"Otros títulos de deuda","    Otros títulos de deuda",440
100600304011,"Instrumentos financieros de capital","    Instrumentos financieros de capital",450
100600103004,"Instrumentos financieros negociables restringidos o dados en garantía (otros)","   Instrumentos financieros negociables restringidos o dados en garantía (otros)",460
100600404012,"Deuda gubernamental","    Deuda gubernamental",470
100601205009,"En posición","     En posición",480
100601205010,"A recibir","     A recibir",490
100600404013,"Deuda bancaria","    Deuda bancaria",500
100601305011,"En posición","     En posición",510
100601305012,"A recibir","     A recibir",520
100600404014,"Otros títulos de deuda","    Otros títulos de deuda",530
100601405013,"En posición","     En posición",540
100601405014,"A recibir","     A recibir",550
100600404015,"Instrumentos financieros de capital","    Instrumentos financieros de capital",560
100601505015,"En posición","     En posición",570
100601505016,"A recibir","     A recibir",580
100600102002,"Instrumentos financieros para cobrar y vender","  Instrumentos financieros para cobrar y vender",590
100600203005,"Instrumentos financieros para cobrar y vender sin restricción","   Instrumentos financieros para cobrar y vender sin restricción",600
100600504016,"Deuda gubernamental","    Deuda gubernamental",610
100601605017,"En posición","     En posición",620
100601605018,"Por entregar","     Por entregar",630
100600504017,"Deuda bancaria","    Deuda bancaria",640
100601705019,"En posición","     En posición",650
100601705020,"Por entregar","     Por entregar",660
100600504018,"Otros títulos de deuda","    Otros títulos de deuda",670
100601805021,"En posición","     En posición",680
